Team,,G,,Pts/G,,Yds/G,,PassYds,,RushYds,,1stD/G,,3rdM,,3rdD%,,4thM,,4thD%,,Pen,,PenYds,,TOP
Wyoming,,5,,23.2,,282.2,,909,,502,,14.6,,24,,34.8,,2,,66.7,,23,,231,,5:51
Cent. Michigan,,5,,22.8,,422.4,,1405,,707,,21.8,,24,,29.6,,5,,55.6,,35,,338,,14:50
Cincinnati,,5,,22.8,,319.4,,1097,,500,,18.4,,26,,34.2,,4,,57.1,,30,,294,,8:57
South Carolina,,5,,22.6,,336,,1257,,423,,16.6,,26,,39.4,,2,,40,,20,,144,,11:19
Rutgers,,5,,21.8,,303.2,,746,,770,,16.8,,29,,37.2,,2,,33.3,,34,,273,,12:00
Vanderbilt,,5,,21.6,,285.2,,1030,,396,,12.8,,22,,33.8,,3,,60,,24,,217,,8:45
Oregon St.,,5,,21.2,,321.6,,957,,651,,16.8,,26,,38.8,,3,,60,,31,,330,,15:27
Nevada,,5,,20,,323,,1039,,576,,19,,25,,34.7,,4,,26.7,,31,,275,,4:17
East. Michigan,,4,,20,,357.3,,1131,,298,,18.3,,20,,30.8,,3,,42.9,,32,,298,,4:26
Florida Intl.,,4,,19.3,,386.5,,942,,604,,19.3,,26,,46.4,,2,,40,,29,,292,,0:00
Illinois,,4,,18.3,,267.3,,645,,424,,15.8,,22,,40,,1,,100,,32,,312,,11:10
Florida St.,,3,,18,,300.7,,609,,293,,15,,12,,28.6,,1,,33.3,,23,,193,,5:31
Old Dominion,,4,,17.8,,279,,655,,461,,13.8,,18,,29.5,,2,,28.6,,16,,135,,3:16
Boston Coll.,,5,,17.6,,318.2,,795,,796,,18.2,,31,,33.7,,4,,50,,22,,177,,17:24
Middle Tenn. St.,,5,,16.6,,359,,1294,,501,,19,,22,,33.3,,2,,28.6,,29,,259,,5:50
Temple,,5,,16.2,,295.8,,1058,,421,,16.8,,26,,32.1,,4,,50,,37,,309,,10:36
Bowling Green,,5,,16,,339.2,,1190,,506,,16.8,,26,,31,,3,,37.5,,35,,317,,12:38
San Jose St.,,6,,15.8,,321,,1220,,706,,17.3,,26,,28.9,,3,,30,,45,,340,,4:24
Charlotte,,5,,14.8,,333.2,,681,,985,,17.4,,23,,31.1,,5,,55.6,,36,,304,,16:06
UTEP,,5,,14.4,,220.6,,700,,403,,13.2,,17,,26.2,,4,,50,,25,,217,,13:18
Georgia St.,,3,,12.7,,320.7,,644,,318,,19,,24,,49,,1,,33.3,,10,,81,,12:49
BYU,,5,,12.6,,256.6,,763,,520,,12.6,,21,,32.8,,0,,0,,29,,232,,6:52
Georgia Southern,,3,,12,,259.7,,234,,545,,14.7,,12,,25,,5,,55.6,,21,,173,,6:57
Texas St.,,5,,12,,283.6,,810,,608,,16.8,,25,,32.9,,1,,20,,23,,226,,15:12
Rice,,5,,11.6,,289,,709,,736,,16.6,,22,,32.8,,1,,20,,20,,158,,7:16
Kent St.,,5,,11.4,,274.4,,554,,818,,14.2,,25,,33.8,,1,,14.3,,47,,435,,12:08
